city,attribute,r2_var,mae_var,rmse_var
Baoding,TIV,0.8694645903227879,0.0729,0.0953
Baoding,Teach,0.7327965373781801,0.1805,0.223
Baoding,UR,0.7821272853927738,0.16899999999999998,0.2059
Baoding,URate,0.7689219419238859,0.151,0.1948
Zhangjiakou,AW,0.7915423175923578,0.1406,0.17620000000000002
Zhangjiakou,Beds,0.856653043524927,0.0959,0.11630000000000001
Zhangjiakou,Bus,0.8158692515052617,0.1333,0.1661
Zhangjiakou,DEU,0.8254731242394766,0.1367,0.1797
Zhangjiakou,DWU,0.7874063371004418,0.1576,0.18510000000000001
Zhangjiakou,ERV,0.9185560045967964,0.0649,0.075
Zhangjiakou,ESV,0.8445926331439345,0.1033,0.1307
Zhangjiakou,GCBA,0.7684568304790076,0.1447,0.19
Zhangjiakou,GDP,0.8536658743164394,0.12359999999999999,0.1528
Zhangjiakou,GSA,0.7796479907151587,0.1573,0.18109999999999998
Zhangjiakou,HETeach,0.8050934374295314,0.16269999999999998,0.20550000000000002
Zhangjiakou,LFE,0.8068789952938544,0.1477,0.17170000000000002
Zhangjiakou,PD,0.7748236150696495,0.1484,0.17370000000000002
Zhangjiakou,PIV,0.8434447547345204,0.1038,0.1217
Zhangjiakou,PRA,0.8185805700583308,0.106,0.1229
Zhangjiakou,Phys,0.8197733719017084,0.1026,0.11810000000000001
Zhangjiakou,SIV,0.8362793904006829,0.128,0.1653
Zhangjiakou,TIV,0.9394645903227878,0.05,0.0593
Zhangjiakou,Teach,0.7926836552897731,0.1242,0.1612
Zhangjiakou,UR,0.8285556147878741,0.10619999999999999,0.1263
Zhangjiakou,URate,0.8432997746330136,0.0949,0.1174
Chengde,AW,0.8561778747290079,0.0906,0.11449999999999999
Chengde,Beds,0.8770361189095611,0.1014,0.1193
Chengde,Bus,0.8410131130322779,0.115,0.1449
Chengde,DEU,0.8224384011440842,0.1165,0.1548
Chengde,DWU,0.8067787199474818,0.147,0.1975
Chengde,ERV,0.9394645903227878,0.0381,0.0508
Chengde,ESV,0.8590370770585699,0.1052,0.1251
Chengde,GCBA,0.7904202267320941,0.1638,0.1957
Chengde,GDP,0.8623990638020783,0.1074,0.1417
Chengde,GSA,0.8030967185002003,0.1402,0.16649999999999998
Chengde,HETeach,0.8319984698156043,0.12359999999999999,0.158
Chengde,LFE,0.8181111563506724,0.10679999999999999,0.14029999999999998
